,LowerBound FoldChange,Maximum Likelihood FoldChange,Upperbound FoldChange,Conservative Estimate FoldChange,Uncorrected Z-Score,Z-Score Corrected for Multiple Testing,symbol,OvaryLog2FC,WTLog2FC,UsedForOrdering,EmbryonicallyDimorphic
ENSMUSG00000032238,-8.00070536294505,-5.09478879244142,-0.905740229767361,-0.905740229767361,-2.38246787788479,-0.421794816360454,Rora,-0.357462127778065,-0.351439333744794,no,no
ENSMUSG00000037892,-8.34035794910779,-5.84957231724757,-1.35861034465104,-1.35861034465104,-2.38285891683613,-0.421794816360454,Pcdh18,-1.85904863903925,-6.5900388954511,no,no
ENSMUSG00000025964,-8.00070536294505,-5.47218055484449,-1.32087116841074,-1.32087116841074,-2.3856833383325,-0.421794816360454,Adam23,2.08657695068736,-0.499384750965692,no,no
ENSMUSG00000022816,-7.01948678069706,-3.47200421410821,-0.603826819844911,-0.603826819844911,-2.38757848822677,-0.421794816360454,Fstl1,0.759994800975507,-2.7667136662855,no,no
ENSMUSG00000008429,-9.32157653135578,-4.98157126372048,-1.05669693472859,-1.05669693472859,-2.39236662606983,-0.421794816360454,Herpud2,0.348957540884741,2.30544623200755,no,no
ENSMUSG00000029426,-6.90626925197616,-4.15130938643376,-0.792522701046445,-0.792522701046445,-2.39296750862681,-0.421794816360454,Scarb2,1.04981804633417,-1.96915493943404,no,no
ENSMUSG00000031659,-7.92522701046442,-5.35896302612356,-1.05669693472859,-1.05669693472859,-2.4078762032701,-0.439976909249153,Adcy7,1.22780919556087,-0.50062587498652,no,no
ENSMUSG00000031239,-8.98192394519301,-3.66070009530975,-0.71704434856583,-0.71704434856583,-2.40976324452133,-0.442394634259121,Itm2a,-1.17091290024495,-4.61870046809866,no,no
ENSMUSG00000017493,-9.35931570759608,-4.22678773891436,-0.905740229767361,-0.905740229767361,-2.4135378877847,-0.443678240214387,Igfbp4,-0.226516892240825,-4.12827675705782,no,no
ENSMUSG00000051811,-7.2081826618986,-4.3777444438756,-0.943479406007672,-0.943479406007672,-2.41515246937232,-0.443678240214387,Cox6b2,0.511898377775002,4.83937073955034,no,yes
ENSMUSG00000074415,-8.45357547782873,-5.50991973108479,-1.05669693472859,-1.05669693472859,-2.42018550174873,-0.444544594997735,2610203C20Rik,1.16269179797161,-2.19837421763398,no,no
ENSMUSG00000038894,-8.45357547782873,-5.69861561228633,-1.39634952089135,-1.39634952089135,-2.42604449718873,-0.45584216009456,Irs2,1.80217264603432,-0.872031902775737,no,yes
ENSMUSG00000043004,-7.96296618670472,-5.73635478852663,-1.16991446344951,-1.16991446344951,-2.42724560025145,-0.456702713905003,Gng2,-0.589028400058707,-3.78734675503277,no,no
ENSMUSG00000001911,-8.37809712534809,-4.71739703003834,-0.943479406007672,-0.943479406007672,-2.42734867597147,-0.456702713905003,Nfix,0.744823225913884,-2.50088949872055,no,no
ENSMUSG00000026235,-8.03844453918535,-5.47218055484449,-0.943479406007672,-0.943479406007672,-2.43404091098287,-0.467168538206238,Epha4,-1.3764272620802,-4.66875635651703,no,no
ENSMUSG00000054619,-6.67983419453429,-4.22678773891436,-0.868001053527057,-0.868001053527057,-2.43766622102711,-0.469476864219903,Mettl7a1,-0.49300997920208,-1.91113451096784,no,no
ENSMUSG00000036103,-8.94418476895271,-5.28348467364296,-1.16991446344951,-1.16991446344951,-2.43887592296553,-0.469476864219903,Colec12,0.408786325106885,-3.4530344840306,no,no
ENSMUSG00000042439,-6.64209501829399,-4.26452691515467,-0.868001053527057,-0.868001053527057,-2.43931575179281,-0.469476864219903,Zfp532,0.371788269626227,-2.02052524379387,no,no
ENSMUSG00000022505,-9.35931570759608,-5.09478879244142,-1.16991446344951,-1.16991446344951,-2.44093442459452,-0.469476864219903,Emp2,-0.483575177744322,-3.1553981027711,no,no
ENSMUSG00000042254,-9.32157653135578,-6.56661666581338,-2.71722068930209,-2.71722068930209,-2.44847340144645,-0.472662290299075,Cilp,0.326756579373557,-1.26100228804449,no,no
ENSMUSG00000020572,-8.98192394519301,-6.07600737468941,-1.20765363968982,-1.20765363968982,-2.44901297030421,-0.472662290299075,Nampt,0.183854531670484,-1.23630756467895,no,no
ENSMUSG00000022687,-8.11392289166595,-5.73635478852663,-1.05669693472859,-1.05669693472859,-2.45271701346349,-0.476572583989274,Boc,0.140746243838867,-0.969662043439667,no,no
ENSMUSG00000055435,-6.94400842821646,-3.62296091906945,-0.754783524806134,-0.754783524806134,-2.45753370442778,-0.483502469622665,Maf,0.0710485668060923,-2.7762383351485,no,no
ENSMUSG00000025492,-6.41565996085215,-3.50974339034855,-0.71704434856583,-0.71704434856583,-2.45822378661013,-0.483502469622665,Ifitm3,0.141478996895413,-3.75249256452385,no,no
ENSMUSG00000028673,-8.64227135903027,-4.4909619725965,-0.981218582247979,-0.981218582247979,-2.45980838136286,-0.483502469622665,Fuca1,1.12525878923312,0.840194311206967,no,no
ENSMUSG00000048703,-7.43461771934044,-3.69843927155005,-0.754783524806134,-0.754783524806134,-2.46095275629392,-0.483502469622665,Speer4b,0.828126124973185,3.52415732727554,no,no
ENSMUSG00000057554,-8.41583630158843,-5.66087643604603,-1.13217528720921,-1.13217528720921,-2.46271819327563,-0.483502469622665,Lgals8,0.344444626762277,2.2811909914207,no,no
ENSMUSG00000019302,-7.73653112926288,-5.32122384988326,-1.39634952089135,-1.39634952089135,-2.46317365441406,-0.483502469622665,Atp6v0a1,0.406837435247389,-0.811480976562195,no,no
ENSMUSG00000034463,-7.05722595693736,-4.22678773891436,-0.981218582247979,-0.981218582247979,-2.46488285490931,-0.483502469622665,Scara3,4.17854548482228,0.00704219700232684,no,no
ENSMUSG00000027276,-8.37809712534809,-4.07583103395313,-0.868001053527057,-0.868001053527057,-2.46882804779913,-0.485120188370411,Jag1,-0.623009643017377,1.60438356193279,no,no
ENSMUSG00000024340,-8.49131465406903,-6.00052902220877,-1.54730622585258,-1.54730622585258,-2.47307353118722,-0.490820826115826,Btnl2,0.412505187859228,-4.90973447902468,no,no
